pais,ano,kilograms,dollars,nao_consta,categoria
africa_do_sul,1970,0,0,0,Espumantes
alemanha,1970,0,0,0,Espumantes
argentina,1970,4980,3836,0,Espumantes
australia,1970,0,0,0,Espumantes
austria,1970,0,0,0,Espumantes
bermudas,1970,0,0,0,Espumantes
bahamas,1970,0,0,0,Espumantes
belgica,1970,0,0,0,Espumantes
brasil,1970,0,0,0,Espumantes
bulgaria,1970,0,0,0,Espumantes
canada,1970,0,0,0,Espumantes
chile,1970,0,0,0,Espumantes
croacia,1970,0,0,0,Espumantes
cuba,1970,0,0,0,Espumantes
emirados_arabes_unidos,1970,0,0,0,Espumantes
eslovenia,1970,0,0,0,Espumantes
espanha,1970,12981,8568,0,Espumantes
estados_unidos,1970,0,0,0,Espumantes
franca,1970,18458,45798,0,Espumantes
georgia,1970,0,0,0,Espumantes
granada,1970,0,0,0,Espumantes
grecia,1970,0,0,0,Espumantes
hong_kong,1970,0,0,0,Espumantes
hungria,1970,0,0,0,Espumantes
indonesia,1970,0,0,0,Espumantes
irlanda,1970,0,0,0,Espumantes
israel,1970,0,0,0,Espumantes
italia,1970,0,0,0,Espumantes
japao,1970,0,0,0,Espumantes
luxemburgo,1970,0,0,0,Espumantes
mexico,1970,0,0,0,Espumantes
moldavia,1970,0,0,0,Espumantes
nova_zelandia,1970,0,0,0,Espumantes
paises_baixos,1970,0,0,0,Espumantes
panama,1970,0,0,0,Espumantes
peru,1970,0,0,0,Espumantes
portugal,1970,1603,2240,0,Espumantes
reino_unido,1970,0,0,0,Espumantes
romenia,1970,0,0,0,Espumantes
suica,1970,0,0,0,Espumantes
tunisia,1970,0,0,0,Espumantes
ucrania,1970,0,0,0,Espumantes
uruguai,1970,0,0,0,Espumantes
nao_consta_na_tabela,1970,0,0,1,Espumantes
nao_declarados,1970,0,0,1,Espumantes
outros,1970,291,1859,0,Espumantes
africa_do_sul,1971,0,0,0,Espumantes
alemanha,1971,25,36,0,Espumantes
argentina,1971,8811,7543,0,Espumantes
australia,1971,0,0,0,Espumantes
austria,1971,0,0,0,Espumantes
bermudas,1971,0,0,0,Espumantes
bahamas,1971,0,0,0,Espumantes
belgica,1971,0,0,0,Espumantes
brasil,1971,0,0,0,Espumantes
bulgaria,1971,0,0,0,Espumantes
canada,1971,0,0,0,Espumantes
chile,1971,0,0,0,Espumantes
croacia,1971,0,0,0,Espumantes
cuba,1971,0,0,0,Espumantes
emirados_arabes_unidos,1971,0,0,0,Espumantes
eslovenia,1971,0,0,0,Espumantes
espanha,1971,7865,5230,0,Espumantes
estados_unidos,1971,0,0,0,Espumantes
franca,1971,26523,72645,0,Espumantes
georgia,1971,0,0,0,Espumantes
granada,1971,0,0,0,Espumantes
grecia,1971,0,0,0,Espumantes
hong_kong,1971,0,0,0,Espumantes
hungria,1971,0,0,0,Espumantes
indonesia,1971,0,0,0,Espumantes
irlanda,1971,0,0,0,Espumantes
israel,1971,360,349,0,Espumantes
italia,1971,554,485,0,Espumantes
japao,1971,0,0,0,Espumantes
luxemburgo,1971,0,0,0,Espumantes
mexico,1971,0,0,0,Espumantes
moldavia,1971,0,0,0,Espumantes
nova_zelandia,1971,0,0,0,Espumantes
paises_baixos,1971,0,0,0,Espumantes
panama,1971,0,0,0,Espumantes
peru,1971,0,0,0,Espumantes
portugal,1971,2054,3090,0,Espumantes
reino_unido,1971,0,0,0,Espumantes
