control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas,1970,284285642,Uvas Americanas e Híbridas,,,,,1
tintas_bacarina,1970,82899,Uvas Americanas e Híbridas,bacarina,,,,0
tintas_bailey,1970,0,Uvas Americanas e Híbridas,bailey,,,,0
tintas_bordo,1970,7242197,Uvas Americanas e Híbridas,bordo,,,,0
tintas_bourdin_s,1970,0,Uvas Americanas e Híbridas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1970,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1970,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brs_magna,1970,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_margot,1970,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsmorena,1970,0,Uvas Americanas e Híbridas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1970,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_rubea,1970,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsvioleta,1970,0,Uvas Americanas e Híbridas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1970,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_champagnon_champanheta,1970,0,Uvas Americanas e Híbridas,champagnon,,champagnon,,0
tintas_colecoes,1970,0,Uvas Americanas e Híbridas,colecoes,,,,0
tintas_concord,1970,5407624,Uvas Americanas e Híbridas,concord,,concord,,0
tintas_concordclone30,1970,0,Uvas Americanas e Híbridas,concordclone30,,concordclone30,,0
tintas_couderc,1970,2713692,Uvas Americanas e Híbridas,couderc,,,,0
tintas_cynthiana_1,1970,568653,Uvas Americanas e Híbridas,cynthiana,,,,0
tintas_herbemont,1970,62053013,Uvas Americanas e Híbridas,herbemont,,herbemont,,0
tintas_iac138022,1970,0,Uvas Americanas e Híbridas,iac138022,,iac138022,,0
tintas_isabel,1970,193840398,Uvas Americanas e Híbridas,isabel,,isabel,,0
tintas_isabelprecoce,1970,0,Uvas Americanas e Híbridas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1970,390593,Uvas Americanas e Híbridas,jacquez,,,,0
tintas_kyoko,1970,0,Uvas Americanas e Híbridas,kyoko,,,,0
tintas_laot,1970,134384,Uvas Americanas e Híbridas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1970,0,Uvas Americanas e Híbridas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1970,15682,Uvas Americanas e Híbridas,oberlin,,,,0
tintas_othello,1970,33013,Uvas Americanas e Híbridas,othello,,,,0
tintas_paco,1970,0,Uvas Americanas e Híbridas,paco,,,,0
tintas_patricia,1970,0,Uvas Americanas e Híbridas,patricia,,,,0
tintas_seibel,1970,11803494,Uvas Americanas e Híbridas,seibel,,,,0
tintas_seibel2_seibeleto,1970,0,Uvas Americanas e Híbridas,seibel2,,,,0
tintas_seyvewillard_tinta,1970,0,Uvas Americanas e Híbridas,seyvewillard,,,,0
tintas_vênus,1970,0,Uvas Americanas e Híbridas,vênus,,,,0
brancas_rosadas,1970,985007,Uvas Americanas e Híbridas,rosadas,,,,1
brancas_rosadas_baco,1970,4647,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_bokay,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1970,0,Uvas Americanas e Híbridas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1970,0,Uvas Americanas e Híbridas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1970,0,Uvas Americanas e Híbridas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_delaware,1970,22705,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_donazilla,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_dutchess,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_goethe,1970,311458,Uvas Americanas e Híbridas,rosadas,,goethe,,0
brancas_rosadas_iac,1970,0,Uvas Americanas e Híbridas,rosadas,,iac,,0
brancas_rosadas_juliana,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_martha,1970,15045,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1970,0,Uvas Americanas e Híbridas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_niagara,1970,631152,Uvas Americanas e Híbridas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1970,0,Uvas Americanas e Híbridas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1970,0,Uvas Americanas e Híbridas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_selecoes,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_outras,1970,0,Uvas Americanas e Híbridas,rosadas,,,,0
tintas,1971,193695427,Uvas Americanas e Híbridas,,,,,1
tintas_bacarina,1971,106962,Uvas Americanas e Híbridas,bacarina,,,,0
tintas_bailey,1971,0,Uvas Americanas e Híbridas,bailey,,,,0
tintas_bordo,1971,7227090,Uvas Americanas e Híbridas,bordo,,,,0
tintas_bourdin_s,1971,0,Uvas Americanas e Híbridas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1971,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1971,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brs_magna,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_margot,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsmorena,1971,0,Uvas Americanas e Híbridas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_rubea,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsvioleta,1971,0,Uvas Americanas e Híbridas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1971,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_champagnon_champanheta,1971,0,Uvas Americanas e Híbridas,champagnon,,champagnon,,0
tintas_colecoes,1971,0,Uvas Americanas e Híbridas,colecoes,,,,0
tintas_concord,1971,3726469,Uvas Americanas e Híbridas,concord,,concord,,0
tintas_concordclone30,1971,0,Uvas Americanas e Híbridas,concordclone30,,concordclone30,,0
tintas_couderc,1971,2835642,Uvas Americanas e Híbridas,couderc,,,,0
tintas_cynthiana_1,1971,419550,Uvas Americanas e Híbridas,cynthiana,,,,0
tintas_herbemont,1971,43864620,Uvas Americanas e Híbridas,herbemont,,herbemont,,0
tintas_iac138022,1971,0,Uvas Americanas e Híbridas,iac138022,,iac138022,,0
tintas_isabel,1971,126754464,Uvas Americanas e Híbridas,isabel,,isabel,,0
tintas_isabelprecoce,1971,0,Uvas Americanas e Híbridas,isabelprecoce,,isabelprecoce,,0
