pais,ano,kilograms,dollars,nao_consta
africa_do_sul,1970,0,0,0
alemanha,1970,0,0,0
argentina,1970,4980,3836,0
australia,1970,0,0,0
austria,1970,0,0,0
bermudas,1970,0,0,0
bahamas,1970,0,0,0
belgica,1970,0,0,0
brasil,1970,0,0,0
bulgaria,1970,0,0,0
canada,1970,0,0,0
chile,1970,0,0,0
croacia,1970,0,0,0
cuba,1970,0,0,0
emirados_arabes_unidos,1970,0,0,0
eslovenia,1970,0,0,0
espanha,1970,12981,8568,0
estados_unidos,1970,0,0,0
franca,1970,18458,45798,0
georgia,1970,0,0,0
granada,1970,0,0,0
grecia,1970,0,0,0
hong_kong,1970,0,0,0
hungria,1970,0,0,0
indonesia,1970,0,0,0
irlanda,1970,0,0,0
israel,1970,0,0,0
italia,1970,0,0,0
japao,1970,0,0,0
luxemburgo,1970,0,0,0
mexico,1970,0,0,0
moldavia,1970,0,0,0
nova_zelandia,1970,0,0,0
paises_baixos,1970,0,0,0
panama,1970,0,0,0
peru,1970,0,0,0
portugal,1970,1603,2240,0
reino_unido,1970,0,0,0
romenia,1970,0,0,0
suica,1970,0,0,0
tunisia,1970,0,0,0
ucrania,1970,0,0,0
uruguai,1970,0,0,0
nao_consta_na_tabela,1970,0,0,1
nao_declarados,1970,0,0,1
outros,1970,291,1859,0
africa_do_sul,1971,0,0,0
alemanha,1971,25,36,0
argentina,1971,8811,7543,0
australia,1971,0,0,0
austria,1971,0,0,0
bermudas,1971,0,0,0
bahamas,1971,0,0,0
belgica,1971,0,0,0
brasil,1971,0,0,0
bulgaria,1971,0,0,0
canada,1971,0,0,0
chile,1971,0,0,0
croacia,1971,0,0,0
cuba,1971,0,0,0
emirados_arabes_unidos,1971,0,0,0
eslovenia,1971,0,0,0
espanha,1971,7865,5230,0
estados_unidos,1971,0,0,0
franca,1971,26523,72645,0
georgia,1971,0,0,0
granada,1971,0,0,0
grecia,1971,0,0,0
hong_kong,1971,0,0,0
hungria,1971,0,0,0
indonesia,1971,0,0,0
irlanda,1971,0,0,0
israel,1971,360,349,0
italia,1971,554,485,0
japao,1971,0,0,0
luxemburgo,1971,0,0,0
mexico,1971,0,0,0
moldavia,1971,0,0,0
nova_zelandia,1971,0,0,0
paises_baixos,1971,0,0,0
panama,1971,0,0,0
peru,1971,0,0,0
portugal,1971,2054,3090,0
reino_unido,1971,0,0,0
romenia,1971,0,0,0
suica,1971,0,0,0
tunisia,1971,0,0,0
ucrania,1971,0,0,0
uruguai,1971,0,0,0
nao_consta_na_tabela,1971,0,0,1
nao_declarados,1971,0,0,1
outros,1971,3772,2358,0
africa_do_sul,1972,0,0,0
alemanha,1972,2864,2479,0
argentina,1972,35301,26909,0
australia,1972,0,0,0
austria,1972,0,0,0
bermudas,1972,0,0,0
bahamas,1972,0,0,0
belgica,1972,0,0,0
brasil,1972,0,0,0
bulgaria,1972,0,0,0
canada,1972,0,0,0
chile,1972,201,192,0
croacia,1972,0,0,0
cuba,1972,0,0,0
emirados_arabes_unidos,1972,0,0,0
eslovenia,1972,0,0,0
espanha,1972,27461,20026,0
estados_unidos,1972,0,0,0
franca,1972,35899,97186,0
georgia,1972,0,0,0
granada,1972,0,0,0
grecia,1972,0,0,0
hong_kong,1972,0,0,0
hungria,1972,0,0,0
indonesia,1972,0,0,0
irlanda,1972,0,0,0
israel,1972,0,0,0
italia,1972,5054,3328,0
japao,1972,0,0,0
luxemburgo,1972,0,0,0
mexico,1972,0,0,0
moldavia,1972,0,0,0
nova_zelandia,1972,0,0,0
paises_baixos,1972,0,0,0
panama,1972,0,0,0
peru,1972,0,0,0
portugal,1972,12768,18479,0
reino_unido,1972,0,0,0
romenia,1972,0,0,0
suica,1972,0,0,0
tunisia,1972,0,0,0
ucrania,1972,0,0,0
uruguai,1972,0,0,0
nao_consta_na_tabela,1972,0,0,1
nao_declarados,1972,0,0,1
outros,1972,576,454,0
africa_do_sul,1973,0,0,0
alemanha,1973,2900,3130,0
argentina,1973,39208,20230,0
australia,1973,0,0,0
austria,1973,0,0,0
bermudas,1973,0,0,0
bahamas,1973,0,0,0
belgica,1973,0,0,0
brasil,1973,0,0,0
bulgaria,1973,0,0,0
canada,1973,0,0,0
chile,1973,328,133,0
croacia,1973,0,0,0
cuba,1973,0,0,0
emirados_arabes_unidos,1973,0,0,0
eslovenia,1973,0,0,0
espanha,1973,40172,28895,0
estados_unidos,1973,0,0,0
franca,1973,49453,186096,0
georgia,1973,0,0,0
granada,1973,0,0,0
grecia,1973,0,0,0
hong_kong,1973,0,0,0
hungria,1973,0,0,0
indonesia,1973,0,0,0
irlanda,1973,0,0,0
israel,1973,27,36,0
italia,1973,5854,5395,0
japao,1973,0,0,0
luxemburgo,1973,0,0,0
mexico,1973,0,0,0
moldavia,1973,0,0,0
nova_zelandia,1973,0,0,0
paises_baixos,1973,0,0,0
panama,1973,0,0,0
peru,1973,0,0,0
portugal,1973,30074,39670,0
