pais,ano,kilograms,dollars,nao_consta
afeganistao,1970,0,0,0
africa_do_sul,1970,0,0,0
alemanha_republica_democratica,1970,0,0,0
arabia_saudita,1970,0,0,0
argentina,1970,1530058,845068,0
australia,1970,0,0,0
belgica,1970,0,0,0
chile,1970,4000,1040,0
china,1970,0,0,0
china_continental,1970,0,0,0
cingapura,1970,0,0,0
costa_rica,1970,0,0,0
emirados,1970,0,0,0
egito,1970,0,0,0
espanha,1970,20000,9584,0
estados_unidos,1970,415210,305494,0
franca,1970,0,0,0
grecia,1970,178475,56586,0
guiana_britanica,1970,334,202,0
india,1970,0,0,0
ira,1970,0,0,0
italia,1970,33600,11396,0
japao,1970,0,0,0
mexico,1970,170172,100310,0
paises_baixos,1970,104,91,0
paraguai,1970,0,0,0
peru,1970,0,0,0
portugal,1970,0,0,0
reino_unido,1970,39,29,0
suecia,1970,12000,3866,0
turquia,1970,124832,41962,0
uruguai,1970,0,0,0
uzbequistao,1970,0,0,0
venezuela,1970,0,0,0
nao_consta_na_tabela,1970,0,0,1
outros,1970,0,0,0
afeganistao,1971,0,0,0
africa_do_sul,1971,0,0,0
alemanha_republica_democratica,1971,0,0,0
arabia_saudita,1971,0,0,0
argentina,1971,1206326,936632,0
australia,1971,0,0,0
belgica,1971,0,0,0
chile,1971,0,0,0
china,1971,0,0,0
china_continental,1971,0,0,0
cingapura,1971,0,0,0
costa_rica,1971,0,0,0
emirados,1971,0,0,0
egito,1971,0,0,0
espanha,1971,15000,14403,0
estados_unidos,1971,429346,292067,0
franca,1971,0,0,0
grecia,1971,302825,95349,0
guiana_britanica,1971,0,0,0
india,1971,0,0,0
ira,1971,0,0,0
italia,1971,27860,7104,0
japao,1971,7221,4458,0
mexico,1971,209257,129483,0
paises_baixos,1971,0,0,0
paraguai,1971,0,0,0
peru,1971,0,0,0
portugal,1971,0,0,0
reino_unido,1971,211,174,0
suecia,1971,0,0,0
turquia,1971,306025,88018,0
uruguai,1971,0,0,0
uzbequistao,1971,0,0,0
venezuela,1971,0,0,0
nao_consta_na_tabela,1971,0,0,1
outros,1971,0,0,0
afeganistao,1972,0,0,0
africa_do_sul,1972,0,0,0
alemanha_republica_democratica,1972,3000,3366,0
arabia_saudita,1972,0,0,0
argentina,1972,1047482,981648,0
australia,1972,89025,52819,0
belgica,1972,0,0,0
chile,1972,0,0,0
china,1972,0,0,0
china_continental,1972,0,0,0
cingapura,1972,0,0,0
costa_rica,1972,0,0,0
emirados,1972,0,0,0
egito,1972,0,0,0
espanha,1972,57208,59951,0
estados_unidos,1972,411443,456999,0
franca,1972,0,0,0
grecia,1972,369763,134178,0
guiana_britanica,1972,0,0,0
india,1972,0,0,0
ira,1972,0,0,0
italia,1972,70000,20790,0
japao,1972,0,0,0
mexico,1972,150827,120736,0
paises_baixos,1972,0,0,0
paraguai,1972,0,0,0
peru,1972,0,0,0
portugal,1972,0,0,0
reino_unido,1972,276,249,0
suecia,1972,0,0,0
turquia,1972,556402,169087,0
uruguai,1972,0,0,0
uzbequistao,1972,0,0,0
venezuela,1972,0,0,0
nao_consta_na_tabela,1972,0,0,1
outros,1972,0,0,0
afeganistao,1973,0,0,0
africa_do_sul,1973,0,0,0
alemanha_republica_democratica,1973,0,0,0
arabia_saudita,1973,0,0,0
argentina,1973,1277380,1848195,0
australia,1973,0,0,0
belgica,1973,0,0,0
chile,1973,59747,66242,0
china,1973,0,0,0
china_continental,1973,25000,5210,0
cingapura,1973,0,0,0
costa_rica,1973,0,0,0
emirados,1973,0,0,0
egito,1973,0,0,0
espanha,1973,144000,170234,0
estados_unidos,1973,538195,700181,0
franca,1973,0,0,0
grecia,1973,132420,180586,0
guiana_britanica,1973,0,0,0
india,1973,0,0,0
ira,1973,0,0,0
italia,1973,59136,25428,0
japao,1973,0,0,0
mexico,1973,28906,24653,0
paises_baixos,1973,0,0,0
paraguai,1973,0,0,0
peru,1973,0,0,0
portugal,1973,0,0,0
reino_unido,1973,0,0,0
suecia,1973,0,0,0
turquia,1973,324242,276922,0
uruguai,1973,0,0,0
uzbequistao,1973,0,0,0
venezuela,1973,256,686,0
nao_consta_na_tabela,1973,0,0,1
outros,1973,0,0,0
afeganistao,1974,0,0,0
africa_do_sul,1974,0,0,0
alemanha_republica_democratica,1974,0,0,0
arabia_saudita,1974,0,0,0
argentina,1974,1004987,1154210,0
australia,1974,88754,88567,0
belgica,1974,0,0,0
chile,1974,0,0,0
china,1974,0,0,0
china_continental,1974,0,0,0
cingapura,1974,0,0,0
costa_rica,1974,0,0,0
emirados,1974,0,0,0
egito,1974,0,0,0
espanha,1974,9500,14640,0
estados_unidos,1974,953941,1447142,0
franca,1974,0,0,0
grecia,1974,139103,149364,0
guiana_britanica,1974,0,0,0
india,1974,0,0,0
ira,1974,0,0,0
italia,1974,69650,41790,0
japao,1974,0,0,0
mexico,1974,40000,60896,0
paises_baixos,1974,0,0,0
paraguai,1974,0,0,0
peru,1974,0,0,0
portugal,1974,0,0,0
reino_unido,1974,0,0,0
suecia,1974,0,0,0
turquia,1974,116338,118050,0
uruguai,1974,0,0,0
uzbequistao,1974,0,0,0
venezuela,1974,561,1236,0
nao_consta_na_tabela,1974,0,0,1
outros,1974,0,0,0
afeganistao,1975,0,0,0
africa_do_sul,1975,72000,54360,0
alemanha_republica_democratica,1975,29988,2283,0
arabia_saudita,1975,0,0,0
argentina,1975,1583972,1142114,0
australia,1975,66750,59852,0
belgica,1975,0,0,0
chile,1975,555818,714754,0
china,1975,0,0,0
china_continental,1975,0,0,0
cingapura,1975,0,0,0
costa_rica,1975,0,0,0
emirados,1975,0,0,0
egito,1975,0,0,0
espanha,1975,7500,15495,0
estados_unidos,1975,494268,674204,0
franca,1975,0,0,0
grecia,1975,28335,22989,0
guiana_britanica,1975,0,0,0
india,1975,0,0,0
ira,1975,5,0,0
italia,1975,150000,80854,0
japao,1975,0,0,0
mexico,1975,234900,293712,0
paises_baixos,1975,0,0,0
paraguai,1975,20000,12000,0
peru,1975,0,0,0
portugal,1975,0,0,0
reino_unido,1975,0,0,0
suecia,1975,0,0,0
turquia,1975,7000,4571,0
uruguai,1975,0,0,0
uzbequistao,1975,0,0,0
venezuela,1975,2240,6252,0
nao_consta_na_tabela,1975,0,0,1
outros,1975,0,0,0
afeganistao,1976,0,0,0
africa_do_sul,1976,0,0,0
alemanha_republica_democratica,1976,0,0,0
arabia_saudita,1976,0,0,0
argentina,1976,2731566,2573741,0
australia,1976,0,0,0
belgica,1976,0,0,0
chile,1976,582102,643686,0
china,1976,0,0,0
china_continental,1976,0,0,0
cingapura,1976,0,0,0
costa_rica,1976,0,0,0
emirados,1976,0,0,0
egito,1976,0,0,0
espanha,1976,2000,5320,0
estados_unidos,1976,25285,46885,0
franca,1976,0,0,0
grecia,1976,0,0,0
guiana_britanica,1976,0,0,0
india,1976,0,0,0
ira,1976,0,0,0
italia,1976,0,0,0
japao,1976,0,0,0
mexico,1976,172500,203960,0
paises_baixos,1976,12000,1038,0
paraguai,1976,0,0,0
peru,1976,0,0,0
portugal,1976,0,0,0
reino_unido,1976,0,0,0
suecia,1976,0,0,0
turquia,1976,0,0,0
uruguai,1976,0,0,0
uzbequistao,1976,0,0,0
venezuela,1976,270,817,0
nao_consta_na_tabela,1976,0,0,1
outros,1976,0,0,0
afeganistao,1977,0,0,0
africa_do_sul,1977,0,0,0
alemanha_republica_democratica,1977,0,0,0
arabia_saudita,1977,0,0,0
argentina,1977,2549687,2663929,0
australia,1977,0,0,0
belgica,1977,0,0,0
chile,1977,670742,1052119,0
china,1977,0,0,0
china_continental,1977,0,0,0
cingapura,1977,0,0,0
costa_rica,1977,0,0,0
emirados,1977,0,0,0
egito,1977,0,0,0
espanha,1977,0,0,0
estados_unidos,1977,171998,378357,0
franca,1977,0,0,0
grecia,1977,20000,23500,0
guiana_britanica,1977,0,0,0
india,1977,0,0,0
ira,1977,0,0,0
italia,1977,0,0,0
japao,1977,0,0,0
mexico,1977,686190,990436,0
paises_baixos,1977,0,0,0
paraguai,1977,0,0,0
peru,1977,0,0,0
portugal,1977,0,0,0
reino_unido,1977,0,0,0
suecia,1977,0,0,0
turquia,1977,0,0,0
uruguai,1977,0,0,0
uzbequistao,1977,0,0,0
venezuela,1977,0,0,0
nao_consta_na_tabela,1977,0,0,1
outros,1977,0,0,0
afeganistao,1978,0,0,0
africa_do_sul,1978,0,0,0
alemanha_republica_democratica,1978,0,0,0
arabia_saudita,1978,0,0,0
argentina,1978,2385266,2683017,0
australia,1978,0,0,0
belgica,1978,0,0,0
chile,1978,756026,1278523,0
china,1978,0,0,0
china_continental,1978,0,0,0
cingapura,1978,0,0,0
costa_rica,1978,0,0,0
emirados,1978,0,0,0
egito,1978,0,0,0
espanha,1978,3000,10850,0
estados_unidos,1978,102285,251489,0
franca,1978,0,0,0
grecia,1978,12500,12812,0
guiana_britanica,1978,0,0,0
india,1978,0,0,0
ira,1978,0,0,0
italia,1978,0,0,0
japao,1978,0,0,0
mexico,1978,778330,1154578,0
paises_baixos,1978,0,0,0
paraguai,1978,0,0,0
peru,1978,0,0,0
portugal,1978,0,0,0
reino_unido,1978,0,0,0
suecia,1978,0,0,0
turquia,1978,0,0,0
uruguai,1978,0,0,0
uzbequistao,1978,0,0,0
venezuela,1978,0,0,0
nao_consta_na_tabela,1978,0,0,1
outros,1978,0,0,0
afeganistao,1979,0,0,0
africa_do_sul,1979,0,0,0
alemanha_republica_democratica,1979,0,0,0
arabia_saudita,1979,0,0,0
argentina,1979,1527094,3998797,0
australia,1979,0,0,0
belgica,1979,0,0,0
chile,1979,1088002,2567693,0
china,1979,0,0,0
china_continental,1979,0,0,0
cingapura,1979,0,0,0
costa_rica,1979,0,0,0
emirados,1979,0,0,0
egito,1979,0,0,0
espanha,1979,1680,7056,0
estados_unidos,1979,53591,227326,0
franca,1979,0,0,0
grecia,1979,25000,36813,0
guiana_britanica,1979,0,0,0
