control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas,1970,284285642,tintas,,,,,1
tintas_bacarina,1970,82899,tintas,bacarina,,,,0
tintas_bailey,1970,0,tintas,bailey,,,,0
tintas_bordo,1970,7242197,tintas,bordo,,,,0
tintas_bourdin_s,1970,0,tintas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1970,0,tintas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1970,0,tintas,brsem,,brsem,,0
tintas_brs_magna,1970,0,tintas,brs,,brs,,0
tintas_brs_margot,1970,0,tintas,brs,,brs,,0
tintas_brsmorena,1970,0,tintas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1970,0,tintas,brs,,brs,,0
tintas_brs_rubea,1970,0,tintas,brs,,brs,,0
tintas_brsvioleta,1970,0,tintas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1970,0,tintas,brs,,brs,,0
tintas_champagnon_champanheta,1970,0,tintas,champagnon,,champagnon,,0
tintas_colecoes,1970,0,tintas,colecoes,,,,0
tintas_concord,1970,5407624,tintas,concord,,concord,,0
tintas_concordclone30,1970,0,tintas,concordclone30,,concordclone30,,0
tintas_couderc,1970,2713692,tintas,couderc,,,,0
tintas_cynthiana_1,1970,568653,tintas,cynthiana,,,,0
tintas_herbemont,1970,62053013,tintas,herbemont,,herbemont,,0
tintas_iac138022,1970,0,tintas,iac138022,,iac138022,,0
tintas_isabel,1970,193840398,tintas,isabel,,isabel,,0
tintas_isabelprecoce,1970,0,tintas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1970,390593,tintas,jacquez,,,,0
tintas_kyoko,1970,0,tintas,kyoko,,,,0
tintas_laot,1970,134384,tintas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1970,0,tintas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1970,15682,tintas,oberlin,,,,0
tintas_othello,1970,33013,tintas,othello,,,,0
tintas_paco,1970,0,tintas,paco,,,,0
tintas_patricia,1970,0,tintas,patricia,,,,0
tintas_seibel,1970,11803494,tintas,seibel,,,,0
tintas_seibel2_seibeleto,1970,0,tintas,seibel2,,,,0
tintas_seyvewillard_tinta,1970,0,tintas,seyvewillard,,,,0
tintas_vênus,1970,0,tintas,vênus,,,,0
brancas_rosadas,1970,985007,brancas_rosadas,rosadas,,,,1
brancas_rosadas_baco,1970,4647,brancas_rosadas,rosadas,,,,0
brancas_rosadas_bokay,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1970,0,brancas_rosadas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1970,0,brancas_rosadas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1970,0,brancas_rosadas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_delaware,1970,22705,brancas_rosadas,rosadas,,,,0
brancas_rosadas_donazilla,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_dutchess,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_goethe,1970,311458,brancas_rosadas,rosadas,,goethe,,0
brancas_rosadas_iac,1970,0,brancas_rosadas,rosadas,,iac,,0
brancas_rosadas_juliana,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_martha,1970,15045,brancas_rosadas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1970,0,brancas_rosadas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_niagara,1970,631152,brancas_rosadas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1970,0,brancas_rosadas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1970,0,brancas_rosadas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_selecoes,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1970,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_outras,1970,0,brancas_rosadas,rosadas,,,,0
tintas,1971,193695427,tintas,,,,,1
tintas_bacarina,1971,106962,tintas,bacarina,,,,0
tintas_bailey,1971,0,tintas,bailey,,,,0
tintas_bordo,1971,7227090,tintas,bordo,,,,0
tintas_bourdin_s,1971,0,tintas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1971,0,tintas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1971,0,tintas,brsem,,brsem,,0
tintas_brs_magna,1971,0,tintas,brs,,brs,,0
tintas_brs_margot,1971,0,tintas,brs,,brs,,0
tintas_brsmorena,1971,0,tintas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1971,0,tintas,brs,,brs,,0
tintas_brs_rubea,1971,0,tintas,brs,,brs,,0
tintas_brsvioleta,1971,0,tintas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1971,0,tintas,brs,,brs,,0
tintas_champagnon_champanheta,1971,0,tintas,champagnon,,champagnon,,0
tintas_colecoes,1971,0,tintas,colecoes,,,,0
tintas_concord,1971,3726469,tintas,concord,,concord,,0
tintas_concordclone30,1971,0,tintas,concordclone30,,concordclone30,,0
tintas_couderc,1971,2835642,tintas,couderc,,,,0
tintas_cynthiana_1,1971,419550,tintas,cynthiana,,,,0
tintas_herbemont,1971,43864620,tintas,herbemont,,herbemont,,0
tintas_iac138022,1971,0,tintas,iac138022,,iac138022,,0
tintas_isabel,1971,126754464,tintas,isabel,,isabel,,0
tintas_isabelprecoce,1971,0,tintas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1971,203081,tintas,jacquez,,,,0
tintas_kyoko,1971,0,tintas,kyoko,,,,0
tintas_laot,1971,106917,tintas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1971,0,tintas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1971,34722,tintas,oberlin,,,,0
tintas_othello,1971,106190,tintas,othello,,,,0
tintas_paco,1971,0,tintas,paco,,,,0
tintas_patricia,1971,0,tintas,patricia,,,,0
tintas_seibel,1971,8309720,tintas,seibel,,,,0
tintas_seibel2_seibeleto,1971,0,tintas,seibel2,,,,0
tintas_seyvewillard_tinta,1971,0,tintas,seyvewillard,,,,0
tintas_vênus,1971,0,tintas,vênus,,,,0
brancas_rosadas,1971,557294,brancas_rosadas,rosadas,,,,1
brancas_rosadas_baco,1971,5873,brancas_rosadas,rosadas,,,,0
brancas_rosadas_bokay,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1971,0,brancas_rosadas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1971,0,brancas_rosadas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1971,0,brancas_rosadas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1971,0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_delaware,1971,22883,brancas_rosadas,rosadas,,,,0
