control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas,1970,56976.0,tintas,,,,,1
tintas_alphonse_lavallee,1970,31878.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1970,25098.0,tintas,mosem,,,,0
brancas,1970,3900.0,brancas,,,,,1
brancas_rosadas_cardinal,1970,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1970,167.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1970,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1970,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1970,3733.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1970,0.0,brancas_rosadas,rosadas,,,,0
tintas,1971,43390.0,tintas,,,,,1
tintas_alphonse_lavallee,1971,2333.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1971,41057.0,tintas,mosem,,,,0
brancas,1971,16335.0,brancas,,,,,1
brancas_rosadas_cardinal,1971,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1971,8654.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1971,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1971,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1971,7681.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1971,0.0,brancas_rosadas,rosadas,,,,0
tintas,1972,4428.0,tintas,,,,,1
tintas_alphonse_lavallee,1972,170.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1972,4258.0,tintas,mosem,,,,0
brancas,1972,6829.0,brancas,,,,,1
brancas_rosadas_cardinal,1972,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1972,657.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1972,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1972,4027.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1972,2145.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1972,0.0,brancas_rosadas,rosadas,,,,0
tintas,1973,8939.0,tintas,,,,,1
tintas_alphonse_lavallee,1973,7690.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1973,1249.0,tintas,mosem,,,,0
brancas,1973,8052.0,brancas,,,,,1
brancas_rosadas_cardinal,1973,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1973,7312.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1973,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1973,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1973,740.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1973,0.0,brancas_rosadas,rosadas,,,,0
tintas,1974,125563.0,tintas,,,,,1
tintas_alphonse_lavallee,1974,124762.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1974,801.0,tintas,mosem,,,,0
brancas,1974,278951.0,brancas,,,,,1
brancas_rosadas_cardinal,1974,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1974,8467.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1974,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1974,1695.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1974,268789.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1974,0.0,brancas_rosadas,rosadas,,,,0
