control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas,1970,10448228,tintas,,,,,1
tintas_alicante_bousem_classificacaohet,1970,0,tintas,alicante,,,,0
tintas_ancelota,1970,0,tintas,ancelota,,,,0
tintas_aramon,1970,0,tintas,aramon,,,,0
tintas_alfrocheiro,1970,0,tintas,alfrocheiro,,,,0
tintas_arinarnoa,1970,0,tintas,arinarnoa,,,,0
tintas_aspirant_bousem_classificacaohet,1970,0,tintas,aspirant,,,,0
tintas_barbera,1970,4548313,tintas,barbera,,,,0
tintas_bonarda,1970,1631610,tintas,bonarda,,,,0
tintas_cabernet_franc,1970,238837,tintas,cabernet,,,,0
tintas_cabernet_sauvignon,1970,0,tintas,cabernet,,,,0
tintas_caladoc,1970,0,tintas,caladoc,,,,0
tintas_campanario,1970,0,tintas,campanario,,,,0
tintas_canaiolo,1970,596766,tintas,canaiolo,,,,0
tintas_carignan,1970,0,tintas,carignan,,,,0
tintas_carmenere,1970,1235,tintas,carmenere,,,,0
tintas_castelao,1970,0,tintas,castelao,,,,0
tintas_corvina,1970,0,tintas,corvina,,,,0
tintas_croatina,1970,0,tintas,croatina,,,,0
tintas_cinsaut,1970,0,tintas,cinsaut,,,,0
tintas_dom_felder,1970,0,tintas,dom,,,,0
tintas_dolcetto,1970,0,tintas,dolcetto,,,,0
tintas_durif,1970,0,tintas,durif,,,,0
tintas_egiodola,1970,0,tintas,egiodola,,,,0
tintas_ekigaina,1970,0,tintas,ekigaina,,,,0
tintas_festival_sugraone,1970,0,tintas,festival,,,,0
tintas_franconia,1970,0,tintas,franconia,,,,0
tintas_freisa,1970,1661,tintas,freisa,,,,0
tintas_gamay_st_romain,1970,0,tintas,gamay,,,,0
tintas_gamay_beaujolais,1970,0,tintas,gamay,,,,0
tintas_gra_noir,1970,0,tintas,gra,,,,0
tintas_grenache,1970,19753,tintas,grenache,,,,0
tintas_jaen,1970,0,tintas,jaen,,,,0
tintas_lagrein,1970,0,tintas,lagrein,,,,0
