control,ano,Litros,categoria,subcategoria,tipo_estilo,processamento,variedade_origem,metodo_processo
vinho_de_mesa,1970,98327606,vinho,mesa,,,,
vinho_mesa_tinto,1970,83300735,vinho,mesa,tinto,,,
vinho_mesa_rosado,1970,107681,vinho,mesa,rosado,,,
vinho_mesa_branco,1970,14919190,vinho,mesa,branco,,,
vinho__fino_de_mesa,1970,4430629,vinho,mesa,,fino,,
vinho_mesa_tinto,1970,435354,vinho,mesa,tinto,,,
vinho_mesa_rosado,1970,183234,vinho,mesa,rosado,,,
vinho_mesa_branco,1970,3812041,vinho,mesa,branco,,,
vinho_frizante,1970,466480,vinho,,,,,
vinho_organico,1970,0,vinho,,,,,
vinho_especial,1970,7325789,vinho,,,,,
vinho_especial_tinto,1970,4730346,vinho,,tinto,,,
vinho_especial_rosado,1970,1229564,vinho,,rosado,,,
vinho_especial_branco,1970,1365879,vinho,,branco,,,
espumantes_,1970,2743678,,,,,,
espumante_moscatel,1970,0,espumante,,moscatel,,,
espumante,1970,0,espumante,,,,,
espumante_organico,1970,0,espumante,,,,,organico
suco_de_uvas,1970,2626855,suco,,,,uva,
suco_natural,1970,0,suco,,,natural,,
suco_adocado,1970,0,suco,,,adocado,,
suco_reprocessado,1970,0,suco,,,reprocessado,,
suco_organico,1970,0,suco,,,organico,,
outros_sucos,1970,0,outros,,,,,
suco_de_uvas_concentrado,1970,0,suco,,concentrado,,uva,
outros_produtos_comercializados,1970,19844550,,,,,,
outros_outros_vinhos_sem_informdetalhada,1970,0,,,,,,
outros_agrin,1970,0,outros,agrin,,,,
outros_aguardente,1970,0,outros,aguardente,,,,
outros_alcool_vinico,1970,0,outros,alcool,,,,
outros_bagaceira,1970,1192987,outros,bagaceira,,,,
outros_base_champenoise,1970,0,outros,base,,,,champenoise
outros_base_charmat,1970,0,outros,base,,,,charmat
outros_base_espumante,1970,0,outros,base,,,,
outros_bebida,1970,0,outros,bebida,,,,
outros_borra_liqwuida,1970,0,outros,borra,,,,
outros_borra_seca,1970,0,outros,borra,,,,
outros_brandy,1970,9388296,outros,brandy,,,,
outros_cooler,1970,0,outros,cooler,,,,
outros_coquetel,1970,0,outros,coquetel,,,,
outros_destilado,1970,533987,outros,destilado,,,,
outros_filtrado_doce,1970,346403,outros,filtrado,,,,
outros_jeropiga,1970,0,outros,jeropiga,,,,
outros_mistelas,1970,178350,outros,mistelas,,,,
outros_mosto_concentrado,1970,44971,outros,mosto,,concentrado,,
outros_mosto_uva,1970,0,outros,mosto,,,,
outros_mosto_sulfitado,1970,401030,outros,mosto,,sulfitado,,
outros_nectar,1970,0,outros,nectar,,,,
outros_outros_produtos,1970,0,outros,produtos,,,,
outros_polpa,1970,0,outros,polpa,,,,
outros_preparado_liquido,1970,0,outros,preparado,,,,
outros_refrigerante,1970,0,outros,refrigerante,,,,
outros_sangria,1970,0,outros,sangria,,,,
outros_vinagre_balsamico,1970,0,outros,vinagre,,,,
outros_vinagre_duplo,1970,0,outros,vinagre,,,,
outros_vinagre_simples,1970,1359297,outros,vinagre,,simples,,
outros_vinho_acetificado,1970,0,outros,vinho,acetificado,,,
outros_vinho_base,1970,0,outros,vinho,,,,
outros_vinho_composto,1970,3386173,outros,vinho,composto,,,
outros_vinho_licoroso,1970,3013056,outros,vinho,licoroso,,,
outros_vinho_leve,1970,0,outros,vinho,leve,,,
outros_vinho_gaseificado,1970,0,outros,vinho,gaseificado,,,
vinho_de_mesa,1971,114399031,vinho,mesa,,,,
vinho_mesa_tinto,1971,98522869,vinho,mesa,tinto,,,
vinho_mesa_rosado,1971,542274,vinho,mesa,rosado,,,
vinho_mesa_branco,1971,15333888,vinho,mesa,branco,,,
vinho__fino_de_mesa,1971,4840369,vinho,mesa,,fino,,
vinho_mesa_tinto,1971,428927,vinho,mesa,tinto,,,
vinho_mesa_rosado,1971,227299,vinho,mesa,rosado,,,
vinho_mesa_branco,1971,4184143,vinho,mesa,branco,,,
