control,ano,Litros,categoria,subcategoria,tipo_estilo,processamento,variedade_origem,metodo_processo,total
vinho_de_mesa,1970,217208604,vinho,,,,,,1
vinho_mesa_tinto,1970,174224052,vinho,mesa,tinto,,,,0
vinho_mesa_branco,1970,748400,vinho,mesa,branco,,,,0
vinho_mesa_rosado,1970,42236152,vinho,mesa,rosado,,,,0
vinho_fino_de_mesa_vinifera,1970,23899346,vinho,,,,,,1
vinho_viniferas_tinto,1970,7591557,vinho,,tinto,,viniferas,,0
vinho_viniferas_branco,1970,15562889,vinho,,branco,,viniferas,,0
vinho_viniferas_rosado,1970,744900,vinho,,rosado,,viniferas,,0
suco,1970,1097771,suco,,,,,,1
suco_de_uva_simples,1970,1097771,suco,,,simples,uva,,0
suco_concentrado,1970,0,suco,,concentrado,,,,0
suco_de_uva_adocado,1970,0,suco,,,adocado,uva,,0
suco_de_uva_organico,1970,0,suco,,,organico,uva,,0
suco_de_uva_reconstituido,1970,0,suco,,,reconstituido,uva,,0
derivados,1970,14164329,derivados,,,,,,1
derivados_espumante,1970,0,derivados,espumante,,,,,0
derivados_espumante_moscatel,1970,0,derivados,espumante,,,,,0
derivados_base_espumante,1970,0,derivados,base,,,,,0
derivados_base_espumante_moscatel,1970,0,derivados,base,,,,,0
derivados_base_champenoise_champanha,1970,0,derivados,base,,,,champenoise,0
derivados_base_charmat_champanha,1970,0,derivados,base,,,,charmat,0
derivados_bebida_de_uva,1970,0,derivados,bebida,,,,,0
derivados_polpa_de_uva,1970,0,derivados,polpa,,,,,0
derivados_mosto_simples,1970,7170736,derivados,mosto,,simples,,,0
derivados_mosto_concentrado,1970,0,derivados,mosto,,concentrado,,,0
derivados_mosto_de_uva_com_bagaco,1970,0,derivados,mosto,,,,,0
derivados_mosto_dessulfitado,1970,0,derivados,mosto,,dessulfitado,,,0
derivados_mistelas,1970,1072100,derivados,mistelas,,,,,0
derivados_nectar_de_uva,1970,0,derivados,nectar,,,,,0
derivados_licorosos,1970,282500,derivados,licorosos,,,,,0
derivados_compostos,1970,0,derivados,compostos,,,,,0
derivados_jeropiga,1970,0,derivados,jeropiga,,,,,0
derivados_filtrado,1970,0,derivados,filtrado,,,,,0
derivados_frisante,1970,0,derivados,frisante,,,,,0
derivados_vinho_leve,1970,0,derivados,vinho,leve,,,,0
derivados_vinho_licoroso,1970,0,derivados,vinho,licoroso,,,,0
derivados_brandy,1970,0,derivados,brandy,,,,,0
derivados_destilado,1970,830030,derivados,destilado,,,,,0
derivados_bagaceira,1970,961290,derivados,bagaceira,,,,,0
derivados_licor_de_bagaceira,1970,0,derivados,licor,,,,,0
derivados_vinagre,1970,0,derivados,vinagre,,,,,0
derivados_borra_liquida,1970,3847673,derivados,borra,,,,,0
derivados_borra_seca,1970,0,derivados,borra,,,,,0
derivados_vinho_composto,1970,0,derivados,vinho,composto,,,,0
derivados_pisco,1970,0,derivados,pisco,,,,,0
derivados_vinho_organico,1970,0,derivados,vinho,organico,,,,0
derivados_espumante_organico,1970,0,derivados,espumante,organico,,,,0
derivados_destilado_alcoolico_simples_de_bagaceira,1970,0,derivados,destilado,,simples,,,0
derivados_vinho_acidificado,1970,0,derivados,vinho,acidificado,,,,0
derivados_mosto_parcialmente_fermentado,1970,0,derivados,mosto,,parcialmente fermentado,,,0
derivados_outros_derivados,1970,0,derivados,outros,,,,,0
vinho_de_mesa,1971,154264651,vinho,,,,,,1
vinho_mesa_tinto,1971,121133369,vinho,mesa,tinto,,,,0
vinho_mesa_branco,1971,1160500,vinho,mesa,branco,,,,0
vinho_mesa_rosado,1971,31970782,vinho,mesa,rosado,,,,0
vinho_fino_de_mesa_vinifera,1971,23586062,vinho,,,,,,1
vinho_viniferas_tinto,1971,7265666,vinho,,tinto,,viniferas,,0
vinho_viniferas_branco,1971,15655709,vinho,,branco,,viniferas,,0
vinho_viniferas_rosado,1971,664687,vinho,,rosado,,viniferas,,0
suco,1971,2296654,suco,,,,,,1
suco_de_uva_simples,1971,2296654,suco,,,simples,uva,,0
suco_concentrado,1971,0,suco,,concentrado,,,,0
suco_de_uva_adocado,1971,0,suco,,,adocado,uva,,0
suco_de_uva_organico,1971,0,suco,,,organico,uva,,0
suco_de_uva_reconstituido,1971,0,suco,,,reconstituido,uva,,0
derivados,1971,13280518,derivados,,,,,,1
derivados_espumante,1971,0,derivados,espumante,,,,,0
derivados_espumante_moscatel,1971,0,derivados,espumante,,,,,0
derivados_base_espumante,1971,0,derivados,base,,,,,0
derivados_base_espumante_moscatel,1971,0,derivados,base,,,,,0
derivados_base_champenoise_champanha,1971,0,derivados,base,,,,champenoise,0
derivados_base_charmat_champanha,1971,0,derivados,base,,,,charmat,0
derivados_bebida_de_uva,1971,0,derivados,bebida,,,,,0
derivados_polpa_de_uva,1971,0,derivados,polpa,,,,,0
derivados_mosto_simples,1971,7646774,derivados,mosto,,simples,,,0
derivados_mosto_concentrado,1971,0,derivados,mosto,,concentrado,,,0
derivados_mosto_de_uva_com_bagaco,1971,0,derivados,mosto,,,,,0
derivados_mosto_dessulfitado,1971,0,derivados,mosto,,dessulfitado,,,0
derivados_mistelas,1971,818400,derivados,mistelas,,,,,0
derivados_nectar_de_uva,1971,0,derivados,nectar,,,,,0
derivados_licorosos,1971,270000,derivados,licorosos,,,,,0
derivados_compostos,1971,45000,derivados,compostos,,,,,0
derivados_jeropiga,1971,0,derivados,jeropiga,,,,,0
derivados_filtrado,1971,0,derivados,filtrado,,,,,0
derivados_frisante,1971,0,derivados,frisante,,,,,0
derivados_vinho_leve,1971,0,derivados,vinho,leve,,,,0
derivados_vinho_licoroso,1971,0,derivados,vinho,licoroso,,,,0
derivados_brandy,1971,0,derivados,brandy,,,,,0
derivados_destilado,1971,0,derivados,destilado,,,,,0
derivados_bagaceira,1971,913200,derivados,bagaceira,,,,,0
derivados_licor_de_bagaceira,1971,0,derivados,licor,,,,,0
derivados_vinagre,1971,21500,derivados,vinagre,,,,,0
derivados_borra_liquida,1971,3565644,derivados,borra,,,,,0
derivados_borra_seca,1971,0,derivados,borra,,,,,0
derivados_vinho_composto,1971,0,derivados,vinho,composto,,,,0
derivados_pisco,1971,0,derivados,pisco,,,,,0
derivados_vinho_organico,1971,0,derivados,vinho,organico,,,,0
derivados_espumante_organico,1971,0,derivados,espumante,organico,,,,0
derivados_destilado_alcoolico_simples_de_bagaceira,1971,0,derivados,destilado,,simples,,,0
derivados_vinho_acidificado,1971,0,derivados,vinho,acidificado,,,,0
derivados_mosto_parcialmente_fermentado,1971,0,derivados,mosto,,parcialmente fermentado,,,0
derivados_outros_derivados,1971,0,derivados,outros,,,,,0
vinho_de_mesa,1972,146953297,vinho,,,,,,1
vinho_mesa_tinto,1972,118180926,vinho,mesa,tinto,,,,0
vinho_mesa_branco,1972,1812367,vinho,mesa,branco,,,,0
vinho_mesa_rosado,1972,26960004,vinho,mesa,rosado,,,,0
vinho_fino_de_mesa_vinifera,1972,21078771,vinho,,,,,,1
vinho_viniferas_tinto,1972,6782837,vinho,,tinto,,viniferas,,0
vinho_viniferas_branco,1972,13289304,vinho,,branco,,viniferas,,0
vinho_viniferas_rosado,1972,1006630,vinho,,rosado,,viniferas,,0
suco,1972,3509440,suco,,,,,,1
suco_de_uva_simples,1972,3509440,suco,,,simples,uva,,0
suco_concentrado,1972,0,suco,,concentrado,,,,0
suco_de_uva_adocado,1972,0,suco,,,adocado,uva,,0
suco_de_uva_organico,1972,0,suco,,,organico,uva,,0
